0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:51 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:51 -0300] "GET /casadocodigo/resources/css/fontello.ttf?3398089 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:54 -0300] "GET /favicon.ico HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:54 -0300] "GET /casadocodigo/produtos/detalhe/2 HTTP/1.1" 200 8405
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:54 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:54 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 200 7018
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:54 -0300] "GET /casadocodigo/resources/css/museo-500.woff HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:54 -0300] "GET /casadocodigo/resources/css/museo-700.woff HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:54 -0300] "GET /casadocodigo/resources/css/fontello.woff?3398089 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:54 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:54 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:54 -0300] "GET /casadocodigo/resources/css/fontello.ttf?3398089 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:14:55 -0300] "GET / HTTP/1.1" 200 11403
0:0:0:0:0:0:0:1 - - [17/May/2019:11:14:55 -0300] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [17/May/2019:11:14:55 -0300] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [17/May/2019:11:14:55 -0300] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [17/May/2019:11:15:51 -0300] "GET / HTTP/1.1" 200 11403
127.0.0.1 - - [17/May/2019:11:15:53 -0300] "GET /casadocodigo/ HTTP/1.1" 200 15052
127.0.0.1 - - [17/May/2019:11:15:53 -0300] "GET /casadocodigo/resources/css/museo-700.woff HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:15:53 -0300] "GET /casadocodigo/resources/css/museo-500.woff HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:15:53 -0300] "GET /casadocodigo/resources/css/produtos.css HTTP/1.1" 200 4358
127.0.0.1 - - [17/May/2019:11:15:53 -0300] "GET /casadocodigo/resources/css/book-collection.css HTTP/1.1" 200 1615
127.0.0.1 - - [17/May/2019:11:15:53 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 1059
127.0.0.1 - - [17/May/2019:11:15:53 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 200 2044
127.0.0.1 - - [17/May/2019:11:15:53 -0300] "GET /casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 200 1517
127.0.0.1 - - [17/May/2019:11:15:53 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 1059
